LocalAuthorityCode,LocalAuthorityName,SiteCode,SiteName,SiteType,DateClosed,DateOpened,Latitude,Longitude,LatitudeWGS84,LongitudeWGS84,Northing,Easting
30,Tower Hamlets,TH6,Tower Hamlets - Millwall Park,Urban Background,2016-11-26 00:00:00,2015-07-06 00:00:00,51.4891342634,-0.0129769309432,6708276.27893065,-1444.5853446565,537938.0818738977,178613.13936204056
30,Tower Hamlets,TH1,Tower Hamlets - Poplar,Urban Background,2013-07-02 00:00:00,1994-01-04 17:00:00,51.510012,-0.019866,6712009.64865,-2211.4730041,537397.0786767378,180921.55036901834
30,Tower Hamlets,TH5,Tower Hamlets - Victoria Park,Urban Background,2016-11-26 00:00:00,2012-07-25 00:00:00,51.5405194915241,-0.033307388878,6717468.09487173,-3707.7615695525,536373.3023601677,184288.5094997076
31,Waltham Forest,WL3,Waltham Forest - Chingford,Roadside,2007-04-18 00:00:00,2003-07-14 12:00:00,51.6251928602333,-0.0225973251092037,6732637.17949,-2515.52272445,536861.2030047202,193723.38240581992
31,Waltham Forest,WL4,Waltham Forest - Crooked Billet,Kerbside,2011-04-01 00:00:00,2007-11-01 00:00:00,51.601718495597,-0.016498263136,6728428.95552,-1836.57825127,537354.1519533461,191124.6951393076
31,Waltham Forest,WL1,Waltham Forest - Dawlish Road,Urban Background,2011-04-01 00:00:00,1998-07-05 08:00:00,51.562422,-0.004891,6721389.18152,-544.46362947,538277.1169277761,186777.1980901437
31,Waltham Forest,WL5,Waltham Forest - Leyton,Roadside,2011-04-01 00:00:00,2007-09-20 00:00:00,51.556257676576,-0.013629679065,6720285.4254,-1517.24893319,537690.130506839,186075.30046790926
31,Waltham Forest,WL2,Waltham Forest - Mobile,Roadside,2001-10-12 11:00:00,1998-07-09 12:15:00,51.564725703428,0.00399595335237289,6721801.71074,444.82749242,538885.9770683416,187050.1881188973
32,Wandsworth,WAA,Wandsworth - Battersea,Roadside,,2012-06-19 00:00:00,51.4794395281222,-0.141786953606306,6706543.24163182,-15783.6514765835,529024.2491138082,177300.3189782066
32,Wandsworth,WA1,Wandsworth - Garratt Lane,Roadside,1996-02-26 00:00:00,1995-04-01 00:00:00,51.4548722085,-0.193003999857021,6702153.22021,-21485.1069851,525535.6964147576,174479.64375872439
32,Wandsworth,WA4,Wandsworth - High Street,Roadside,2007-08-30 08:45:00,1998-01-31 23:00:00,51.4564354037312,-0.191157408342927,6702432.48271,-21279.5453581,525659.6802092877,174656.62304222744
32,Wandsworth,WAC,Wandsworth - Lavender Hill (Clapham Jct),Roadside,,2016-04-14 00:00:00,51.4636903568111,-0.166713485994806,6703728.69446334,-18558.4603693134,527337.4671402614,175505.52755044613
32,Wandsworth,WA9,Wandsworth - Putney,Urban Background,,2011-01-04 00:00:00,51.4650325059122,-0.215824580947572,6703968.51315,-24025.4824518,523922.89354318444,175570.5075470399
32,Wandsworth,WA7,Wandsworth - Putney High Street,Kerbside,,2009-07-09 00:00:00,51.463429,-0.215871,6703681.99537,-24030.649797,523924.01389633736,175392.13358044374
32,Wandsworth,WA8,Wandsworth - Putney High Street Facade,Roadside,,2010-04-23 00:00:00,51.4637206047191,-0.215890144123119,6703734.09916,-24032.7809111,523921.8942558442,175424.52499874824
32,Wandsworth,WA3,Wandsworth - Roehampton,Rural,2000-11-24 13:45:00,1994-10-31 00:00:00,51.4569204685076,-0.245562490498382,6702519.14075,-27335.8914002,521879.15274386137,174618.6140397969
32,Wandsworth,WA6,Wandsworth - Tooting,Roadside,2009-08-28 13:30:00,2008-07-01 00:00:00,51.425284,-0.164452,6696869.13346,-18306.7128999,527601.5560385823,171239.06151103578
32,Wandsworth,WAB,Wandsworth - Tooting High Street,Roadside,,2015-06-11 00:00:00,51.429331,-0.166524,6697591.67537674,-18537.3668848591,527446.2662711305,171685.4396652103
32,Wandsworth,WA2,Wandsworth - Wandsworth Town Hall,Urban Background,,1994-10-11 14:00:00,51.456962,-0.191074,6702526.5605,-21270.2603838,525664.0277856487,174715.31867424346
33,Westminster,CE2,Waterloo Place (The Crown Estate),Roadside,,2020-12-21 00:00:00,51.5075819137762,-0.133068372704093,6711575.01117305,-14813.1034901092,529549.7557595817,180444.88169150392
33,Westminster,BP0,Westminster - Bridge Place,Urban Background,1999-11-21 13:45:00,1990-07-03 00:00:00,51.4938505656999,-0.143808451030166,6709119.5015,-16008.6835404,528843.2652664983,178899.1271357202
33,Westminster,WMA,Westminster - Buckingham Palace Road,Roadside,2020-04-27 10:00:00,2018-02-18 00:00:00,51.4932327916861,-0.147391757027028,,,528596.2964320243,178824.13521941123
33,Westminster,WMC,Westminster - Cavendish Square,Roadside,,2018-05-31 12:00:00,51.5168016452062,-0.145657269364411,6713226.17707297,-16227.821409371,528650.2790821667,181447.82162861826
33,Westminster,WM4,Westminster - Charing Cross Library,Roadside,2011-01-11 00:00:00,2007-02-01 00:00:00,51.510205,-0.128177,6712044.16901,-14268.5983714,529881.6892309402,180745.21414464666
33,Westminster,WM5,Westminster - Covent Garden,Urban Background,,2009-07-10 00:00:00,51.5119769825798,-0.12162720332856,6712361.11612,-13539.4783411,530331.0710271685,180953.88672402911
33,Westminster,GV2,Westminster - Duke Street (Grosvenor),Roadside,,2019-08-22 16:00:00,51.5129998832095,-0.150913488159214,6712548.93416217,-16799.8922725577,528296.3250621926,181015.8720231856
33,Westminster,GV1,Westminster - Ebury Street (Grosvenor),Roadside,,2018-12-11 09:00:00,51.493492,-0.149906,6709055.39086079,-16687.4595868565,528421.0587306631,178848.5426683701
33,Westminster,WMD,Westminster - Elizabeth Bridge,Roadside,,2020-04-27 00:00:00,51.4922482333024,-0.147114752900186,6708833.01244356,-16376.739381027,528618.2941235718,178715.14833184343
33,Westminster,WM0,Westminster - Horseferry Road,Urban Background,,2001-07-17 00:00:00,51.494681,-0.131938,6709267.98298,-14687.2709763,529664.8033924331,179012.42475307296
33,Westminster,MY1,Westminster - Marylebone Road,Kerbside,,1997-05-26 12:00:00,51.52254,-0.15459,6714250.73471,-17208.8800817,528014.5007403663,182070.20849905
33,Westminster,MY7,Westminster - Marylebone Road FDMS,Kerbside,2021-12-21 08:00:00,2004-01-22 12:00:00,51.52254,-0.15459,6714250.73471,-17208.8800817,528014.5007403663,182070.20849905
